Code;TAS20;F1;F2;F3;Gender;Age;Card;Text
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;1;es un niño pensando en cual es la respuesta de sus deberes porque no la sabe
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;9VH;soldados descansando
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;11;Una cascada
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;13HM;hombre llorando porque su mujer ha muerto
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;1;un Niño cansado de estudiar y presionado por sus padres. Está triste porque se siente incomprendido. Siente que da lo mejor de él y que nadie se lo valora.
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;9VH;Grupo de amigos después de una noche de diversión. Están cansados y uno de ellos está triste porque lo ha dejado con su pareja
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;11;acantilado
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;13HM;Hombre desolado porque se ha encontrado a su mujer fallecida
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;1;Es un niño que está aburrido, está cansado de tocar el violín
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;9VH;Esta imagen refleja a varios hombres en el descanso de su trabajo, echándose la siesta en el campo, tapándose de los rayos del sol.
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;11;en esta imagen veo una cascada con rocas alrededor
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;13HM;La imagen representa a una mujer enferma, y su marido cansado por estar día y noche cuidando de ella
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;1;Carlito tiene 10 años, y toca el violín muy a menudo. Resulta que su profesor de siempre ha tenido que irse fuera del país porque le ha surgido una muy buena oportunidad. El profesor que ahora le da las clases es muy borde y no le gusta para nada. No sabe qué hacer, si dejar de tocar el violín, o aguantarle
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;9VH;Tras varias semanas trabajando sin parar en la granja de su tio abuelo, porfín acabaron de reformar el granero. Los primeros Dalton, para celebrarlo se fueron al bar del pueblo a celebrarlo. A la mañana siguiente, les encontraron dormidos en la finca del vecino, con una resaca del copón.
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;11;Dos pájaros amigos deciden ir de excursión un día de niebla, resulta que a uno de ellos se le había enganchado un troco de basura a una ala, y estaban buscando a un pájaro curandero para sacárselo. Tenían que subir inumerables cuestas y pasar muchos puentes como el que se ve en la imagen. Era una aventura de no olvidar.
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;13HM;Se levantó Jaime por la mañana sin poder creer lo que acaba de pasar, su mujer, su esposa desde hace 15 años había fallecido de la noche a la mañana. Madre mia, querría por todos los medios que eso fuera un sueño, pero no era así. Cómo se lo pensaba decir a las niñas, y sus padres... Qué horrible.
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;1;Un niño al que sus padres obligaban a tocar el violín y él estaba harto porque quería jugar al fútbol. En la foto está imaginándose su plan de fuga de casa
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;9VH;Unos señores dueños de una finca en la que tenían esclavos negros. En la foto están durmiendo tranquilamente y los negros están apunto de matarlos mientras duermen y huir.
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;11;Una estampida de búfalos que están apunto de caerse por un barranco
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;13HM;Un marido triste que acaba de perder a su mujer enferma de cáncer.
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;1;Un niño al que sus padres le han obligado a tocar el violin. A él no le gusta.
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;9VH;Unos militares descansando tras un día duro
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;11;Una cascada rodeada de árboles 
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;13HM;Un hombre que al levantarse se arrepiente de haber dormido con la mujer que se encuentra tumbada en la cama
1259d6cb9f81f0f343097304b0fbbe45;42;16;10;16;2;21;12VN;Yo creo que un hombre solitario se fue a dar un paseo en barca por el río, aparcó ahí, y ahí la dejó, se fue.
1259d6cb9f81f0f343097304b0fbbe45;42;16;10;16;2;21;13VH;Es una mujer que se despertó por la mañana, fue a su trabajo y la despidieron, y llegó a casa y se dio cuenta de que no le quedaba dinero y se puso a llorar.
1259d6cb9f81f0f343097304b0fbbe45;42;16;10;16;2;21;10N;Son dos abuelitos que se quieren mucho y que llevan toda la vida juntos y se están diciendo que se quieren mucho.
3a7bc6a0450eda9cc016324a2ee5b749;56;18;20;18;2;23;3VH;Alguien que está triste o cansado de algo y está decidiendo su vida, no sé, porque parece que está aquí con unas tijeras. O que está decepcionada o triste.
3a7bc6a0450eda9cc016324a2ee5b749;56;18;20;18;2;23;11;Erase una vez un bosque encantado en el cual no habitaba nadie hasta que un día apareció un toro y empezaron a descubrir un mundo mágico en el cual las piedras hablaban.
3a7bc6a0450eda9cc016324a2ee5b749;56;18;20;18;2;23;13N;Erase una vez un niño que le gustaba descubrir cosas y decidió subir por unas escaleras que descubrió cuando sus padres fueron a un bar, se adentró en un mundo mágico en el que comenzó a escalar y escalar y llegó al cielo.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;13V;Es un niño que sus padres se han olvidado de él a la salida del colegio y está ahí sentado esperando.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;9VH;Son unos granjeros que están en el momento del descanso, tomando el sol, después de haber comido en el campo.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;7VH;Es un padre dando consejos a un hijo en el ámbito laboral.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;13V;Era un niño pensando en el granero pensando a ver a quien pega el cantazo, si a la niña de rojo o la niña de negro.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;18NM;Una madre que está consolando a su hijo, después de darle las notas, que ha sacado no sé cuantos insuficientes.
0869cf46fd51daaf1ee9ad0a2d2dba6a;40;14;10;16;2;50;12VN;Un pantanal con una barca abandonada. A ver qué están haciendo los de la barca. Buscar setas.
76ef63369f7d5b6597a543017e1ef578;63;23;21;19;2;81;12VN;Era un paraje muy bonito, con una barca, un poco solitario, con mucha arboleda bonita, pero era triste porque no había nadie. Hasta que un día aparecieron unos pajaritos que hablaban y al rato aparecieron unos niños y se empezó a poner reluciente y bonito.
76ef63369f7d5b6597a543017e1ef578;63;23;21;19;2;81;10;Era una vez un matrimonio, que se quería muchísimo, y un día, de buenas a primeras, vino el marido y dijo que se tenía que ir lejos, muy lejos, a vivir. Y la mujer no cesaba de llorar.
76ef63369f7d5b6597a543017e1ef578;63;23;21;19;2;81;1;Erase una vez un niño que se encontraba muy triste porque no le salían bien las cosas del colegio. Y se ponía cada vez más tarde porque se pensaba que le iban a reñir. Y cada vez más triste, cada vez más triste, y no salía de su tristeza, hasta que un día le dijeron: si no pasa nada.
